Nama SGB,Alamat,Jumlah Slot,Timestamp
Alfamart Perum Griya Asri,"Jl. Perum Griya Asri Blk. B3 No.14 Rt 055/007, Jelupang, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",12,2025-06-06 21:56:31
Alfamart Meruya Utara,"Jl. Damai Raya No.9, RT.3/RW.5, Petukangan Selatan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270",12,2025-06-06 21:37:22
SPBKLU PLN ULP Bandung Timur,"Jl. Let. Jend. Suprapto, Cimuning, RT.003/RW.004, Cimuning, Kec. Mustika Jaya, Kota Bks, Jawa Barat ",8,2025-06-06 21:44:49
SPBKLU PLN ULP Cimahi Selatan,"Jl. Raya Leuwigajah, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi",8,2025-06-06 21:44:14
Ubud EV Battery Charging Station Bali (24Jam),"Jl. Cok Gede Rai, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",12,2025-06-06 21:19:02
Perkasa Motor Elektrindo ( Dealer Semarang ),Jl. Majapahit no 277 pedurungan kota SMG,12,2025-06-06 21:28:12
Alfamart Cipinang Muara 3,"Jl. Pertanian Sel. No.44, RT.8/RW.4, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470
",12,2025-06-06 21:29:43
SPBKLU PLN UP3 Tanjung Priok,"Jl. Yos Sudarso No.30, RT.19/RW.5, Sunter Jaya,Tanjung Priok, Jakarta Utara",8,2025-06-06 21:34:20
BC Semolis Serpong,"Jl. Raya Sawangan No.36, RT.3 RW.5, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435",12,2025-06-06 22:01:40
Agapindo Tambun Selatan,"Jl. Raya Serpong No.8, Muncul, Kec. Setu, Kota Tangerang Selatan, Banten 15314",12,2025-06-06 22:02:51
Alfamidi Petukangan Selatan,"Jl. Damai Raya No.9, RT.3/RW.5, Petukangan Selatan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270",12,2025-06-06 21:36:52
Alfamart Juanda 3 (24 Jam),JL.IR.H.JUANDA 3 NO.29 C KEL.KEBON KELAPA KEC.GAMBIR JAKARTA PUSAT,12,2025-06-06 21:52:25
Alfamart Pendowo Depok,"Jl. Elang Raya No.10 RT.001 RW 016, Limo, Kec. Limo, Kota Depok, Jawa Barat 16515",12,2025-06-06 21:56:06
Alfamart Raya Bedahan 2,"Jl. Sawangan Permai, Sawangan Baru, Kec. Sawangan, Kota Depok, Jawa Barat 16519",12,2025-06-06 22:02:15
Minimart BT7 Bali,"Jl. Batu Belig No.79, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:13
Alfamart Gagak (Makassar),"Jl. Gagak No.17, Mariso, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90122",12,2025-06-06 21:18:47
